iter	Accuracy	MultiClass
0	0.1653777778	2.470167708
1	0.1728555556	2.457777257
2	0.1760083333	2.447011806
3	0.1790638889	2.437372743
4	0.1819166667	2.428457292
5	0.1841055556	2.41991441
6	0.187425	2.412562153
7	0.1904194444	2.405535764
8	0.1915027778	2.399104167
9	0.1938166667	2.393021181
10	0.1955583333	2.387108854
11	0.196925	2.381356771
12	0.1990888889	2.375909028
13	0.2002333333	2.371234028
14	0.202025	2.366567535
15	0.2043166667	2.361432292
16	0.2045083333	2.357350694
17	0.2049166667	2.353236632
18	0.2064138889	2.349356597
19	0.2081583333	2.34525816
20	0.2093444444	2.341024653
21	0.2101472222	2.336948264
22	0.2102472222	2.333310069
23	0.2116944444	2.329828299
24	0.2130555556	2.326503646
25	0.2145777778	2.323017535
26	0.2159527778	2.319678819
27	0.2165111111	2.316763889
28	0.2180027778	2.313695313
29	0.2203472222	2.310372222
30	0.2208611111	2.307820833
31	0.2218611111	2.30471875
32	0.222975	2.301982118
33	0.2243805556	2.299108854
34	0.2252027778	2.296780035
35	0.2259777778	2.294179861
36	0.2275694444	2.291364063
37	0.2288611111	2.288644965
38	0.2305722222	2.285818576
39	0.231825	2.282904167
40	0.2334138889	2.279674132
41	0.2342111111	2.276958507
42	0.23505	2.27480816
43	0.2357527778	2.272092535
44	0.2369777778	2.269270486
45	0.2377194444	2.266744792
46	0.2388027778	2.264436111
47	0.2399722222	2.262330903
48	0.2411388889	2.259775
49	0.2423972222	2.257355729
50	0.2432472222	2.254683507
51	0.2440055556	2.252300521
52	0.2447666667	2.249857639
53	0.2461027778	2.247745833
54	0.2467472222	2.245747743
55	0.2475972222	2.243814757
56	0.2486277778	2.241404861
57	0.2502222222	2.239125
58	0.2511416667	2.23707066
59	0.2520805556	2.235243056
60	0.2531305556	2.233134722
61	0.2538694444	2.230853125
62	0.2545027778	2.228954514
63	0.2556194444	2.226841493
64	0.2565555556	2.224919618
65	0.2574555556	2.222675868
66	0.2576166667	2.221059549
67	0.2589694444	2.218930382
68	0.259325	2.217114757
69	0.2605888889	2.215169271
70	0.2612777778	2.213169097
71	0.2623305556	2.211203646
72	0.2629527778	2.209177083
73	0.2638611111	2.207421528
74	0.2646055556	2.205468403
75	0.2654111111	2.203503472
76	0.2659111111	2.202000521
77	0.2668	2.200151736
78	0.2674027778	2.198106076
79	0.2685111111	2.196197222
80	0.2692305556	2.194416146
81	0.2699166667	2.192790104
82	0.2708666667	2.191065972
83	0.2716416667	2.189276736
84	0.2725305556	2.18749375
85	0.2735555556	2.185894444
86	0.2744416667	2.184217014
87	0.2753555556	2.182409549
88	0.2760138889	2.180680382
89	0.2765472222	2.179477431
90	0.2773416667	2.177751042
91	0.2781222222	2.175975868
92	0.2791444444	2.174372049
93	0.2798916667	2.172784896
94	0.2808972222	2.171081597
95	0.2815361111	2.169472222
96	0.2821555556	2.167942882
97	0.2828638889	2.166264757
98	0.2836583333	2.164790625
99	0.2847055556	2.162954861
100	0.2850222222	2.161394097
101	0.2858083333	2.160057292
102	0.2864444444	2.158596354
103	0.287	2.157054514
104	0.2878583333	2.155529688
105	0.2886527778	2.153888889
106	0.2891722222	2.152231771
107	0.2898166667	2.150593576
108	0.2906861111	2.149038889
109	0.2912611111	2.147503299
110	0.2919333333	2.145963889
111	0.2927222222	2.144442014
112	0.2930777778	2.143170313
113	0.2939583333	2.141822396
114	0.2947694444	2.140562674
115	0.2951138889	2.139224479
116	0.29575	2.13777309
117	0.2963833333	2.136413542
118	0.2971611111	2.134810243
119	0.2979777778	2.13326059
120	0.2983888889	2.131939236
121	0.2989638889	2.130705556
122	0.2998	2.129269965
123	0.3000777778	2.128093924
124	0.3008694444	2.126632639
125	0.3016111111	2.125141667
126	0.3023416667	2.123738194
127	0.3028638889	2.12224809
128	0.303725	2.120864757
129	0.3046416667	2.119313542
