iter	Passed	Remaining
0	448	268515
1	602	180280
2	763	151848
3	920	137111
4	1096	130500
5	1242	122970
6	1412	119640
7	1591	117768
8	1753	115162
9	1920	113324
10	2064	110520
11	2235	109556
12	2404	108586
13	2532	106005
14	2710	105713
15	2868	104705
16	3010	103226
17	3169	102468
18	3323	101613
19	3501	101534
20	3672	101269
21	3837	100827
22	4004	100448
23	4173	100153
24	4342	99869
25	4511	99598
26	4673	99189
27	4822	98507
28	4992	98305
29	5181	98440
30	5339	98005
31	5523	98040
32	5682	97639
33	5856	97500
34	6015	97109
35	6193	97034
36	6381	97101
37	6551	96898
38	6739	96940
39	6934	97080
40	7126	97163
41	7311	97145
42	7484	96946
43	7672	96958
44	7865	97002
45	8048	96929
46	8229	96824
47	8406	96678
48	8590	96602
49	8768	96454
50	8957	96420
51	9146	96390
52	9337	96373
53	9517	96230
54	9680	95925
55	9868	95869
56	10061	95844
57	10259	95872
58	10448	95808
59	10613	95524
60	10800	95434
61	10990	95370
62	11175	95255
63	11368	95208
64	11561	95157
65	11754	95104
66	11930	94912
67	12121	94829
68	12307	94713
69	12498	94635
70	12676	94451
71	12867	94359
72	13060	94284
73	13246	94159
74	13435	94047
75	13632	93992
76	13811	93809
77	14006	93733
78	14194	93608
79	14382	93487
80	14582	93434
81	14755	93212
82	14934	93024
83	15133	92965
84	15333	92901
85	15514	92725
86	15710	92639
87	15892	92466
88	16092	92397
89	16250	92084
90	16444	91980
91	16630	91828
92	16826	91733
93	17018	91611
94	17198	91424
95	17385	91273
96	17571	91115
97	17766	91005
98	17944	90811
99	18144	90724
100	18330	90561
101	18510	90373
102	18707	90270
103	18900	90139
104	19079	89946
105	19261	89763
106	19444	89589
107	19635	89452
108	19828	89320
109	20021	89184
110	20215	89058
111	20397	88872
112	20587	88725
113	20769	88545
114	20949	88353
115	21123	88134
116	21307	87962
117	21487	87770
118	21689	87670
119	21885	87543
120	22075	87389
121	22261	87222
122	22456	87085
123	22639	86904
124	22841	86797
125	23030	86637
126	23217	86472
127	23402	86297
128	23596	86155
129	23786	85999
130	23976	85840
131	24171	85700
132	24374	85585
133	24562	85419
134	24753	85261
135	24942	85097
136	25133	84940
137	25334	84816
138	25535	84690
139	25736	84562
140	25918	84371
